PM_ET0,PM_ETF,PM_ETV,TH_ET0,TH_ETF,TH_ETV,BC_ET0,BC_ETF,BC_ETV,TU_ET0,TU_ETF,TU_ETV,PT_ET0,PT_ETF,PT_ETV,AB_ET0,AB_ETF,AB_ETV
1.97,1.42,1.48,2.59,2.49,2.36,3.36,1.61,1.75,2.07,1.99,1.82,2.87,1.52,1.64,2.65,1.4,1.59
1.63,1.17,1.22,1.89,1.81,1.72,2.88,1.38,1.5,1.69,1.62,1.49,3,1.58,1.71,2.77,1.46,1.66
2.04,1.47,1.53,2.6,2.5,2.37,3.36,1.61,1.75,2.03,1.95,1.79,2.74,1.45,1.56,2.52,1.33,1.51
1.78,1.28,1.34,2.31,2.22,2.1,3.15,1.51,1.64,1.9,1.82,1.67,2.87,1.52,1.64,2.64,1.39,1.58
2.13,1.53,1.6,2.74,2.63,2.49,3.46,1.66,1.8,2.06,1.98,1.81,2.67,1.41,1.52,2.46,1.3,1.48
2.58,1.86,1.94,2.74,2.63,2.49,3.46,1.66,1.8,1.57,1.51,1.38,1.72,0.91,0.98,1.58,0.83,0.95
1.47,1.06,1.1,1.37,1.32,1.25,2.55,1.22,1.33,1.19,1.14,1.05,2.75,1.45,1.57,2.54,1.34,1.52
1.1,0.79,0.83,0.94,0.9,0.86,2.31,1.11,1.2,0.58,0.56,0.51,1.82,0.96,1.04,1.68,0.89,1.01
1.42,1.02,1.07,1.51,1.45,1.37,2.64,1.27,1.37,1.27,1.22,1.12,2.69,1.42,1.53,2.48,1.31,1.49
2.23,1.61,1.67,2.13,2.04,1.94,3.03,1.45,1.58,1.06,1.02,0.93,1.48,0.78,0.84,1.36,0.72,0.82
1.09,0.78,0.82,0.78,0.75,0.71,2.22,1.07,1.15,0.57,0.55,0.5,2.28,1.2,1.3,2.1,1.11,1.26
1.09,0.78,0.82,0.35,0.34,0.32,2.03,0.97,1.06,0.27,0.26,0.24,2.75,1.45,1.57,2.54,1.34,1.52
0.9,0.65,0.68,0,0,0,1.84,0.88,0.96,0,0,0,1.13,0.6,0.64,1.04,0.55,0.62
0.9,0.65,0.68,0.88,0.84,0.8,2.28,1.09,1.19,0.29,0.28,0.26,0.76,0.4,0.43,0.7,0.37,0.42
1.28,0.92,0.96,1.5,1.44,1.37,2.63,1.26,1.37,0.37,0.36,0.33,0.43,0.23,0.25,0.4,0.21,0.24
1.38,0.99,1.04,1.91,1.83,1.74,2.89,1.39,1.5,1.42,1.36,1.25,2.41,1.27,1.37,2.23,1.18,1.34
1.46,1.05,1.1,1.92,1.84,1.75,2.89,1.39,1.5,1.38,1.32,1.21,2.32,1.22,1.32,2.14,1.13,1.28
1.29,0.93,0.97,1.9,1.82,1.73,2.88,1.38,1.5,1.37,1.32,1.21,2.33,1.23,1.33,2.15,1.14,1.29
1.16,0.84,0.87,1.71,1.64,1.56,2.76,1.32,1.44,1.25,1.2,1.1,2.32,1.22,1.32,2.14,1.13,1.28
1.29,0.93,0.97,1.51,1.45,1.37,2.63,1.26,1.37,0.66,0.63,0.58,1.16,0.61,0.66,1.07,0.56,0.64
0.96,0.69,0.72,1.56,1.5,1.42,2.67,1.28,1.39,0.93,0.89,0.82,1.76,0.93,1,1.62,0.86,0.97
0.76,0.55,0.57,1.34,1.29,1.22,2.54,1.22,1.32,0.53,0.51,0.47,0.98,0.52,0.56,0.9,0.48,0.54
1.13,0.81,0.85,1.85,1.78,1.68,2.85,1.37,1.48,0.83,0.8,0.73,1.26,0.67,0.72,1.16,0.61,0.7
